1731207152.251063 server started (1035101): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1731207152.251078 on Linux 6.6.56 #1-NixOS SMP PREEMPT_DYNAMIC Thu Oct 10 10:50:06 UTC 2024
1731207152.251083 using libevent 2.1.12-stable poll
1731207152.251088 using utf8proc 2.9.0
1731207152.251090 using ncurses 6.4 20221231
1731207152.251135 input_key_build: 0x10e003 (PasteStart) is \033[200~
1731207152.251137 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1731207152.251139 input_key_build: 0x10e195 (F1) is \033OP
1731207152.251141 input_key_build: 0x10e196 (F2) is \033OQ
1731207152.251142 input_key_build: 0x10e197 (F3) is \033OR
1731207152.251144 input_key_build: 0x10e198 (F4) is \033OS
1731207152.251146 input_key_build: 0x10e199 (F5) is \033[15~
1731207152.251148 input_key_build: 0x10e19a (F6) is \033[17~
1731207152.251149 input_key_build: 0x10e19b (F7) is \033[18~
1731207152.251151 input_key_build: 0x10e19c (F8) is \033[19~
1731207152.251152 input_key_build: 0x10e19d (F9) is \033[20~
1731207152.251154 input_key_build: 0x10e19e (F10) is \033[21~
1731207152.251156 input_key_build: 0x10e19f (F11) is \033[23~
1731207152.251158 input_key_build: 0x10e1a0 (F12) is \033[24~
1731207152.251159 input_key_build: 0x10e1a1 (IC) is \033[2~
1731207152.251161 input_key_build: 0x10e1a2 (DC) is \033[3~
1731207152.251163 input_key_build: 0x10e1a3 (Home) is \033[1~
1731207152.251166 input_key_build: 0x10e1a4 (End) is \033[4~
1731207152.251168 input_key_build: 0x10e1a5 (NPage) is \033[6~
1731207152.251169 input_key_build: 0x10e1a6 (PPage) is \033[5~
1731207152.251171 input_key_build: 0x10e1a7 (BTab) is \033[Z
1731207152.251173 input_key_build: 0x10e1a8 (Up) is \033[A
1731207152.251175 input_key_build: 0x10e1a9 (Down) is \033[B
1731207152.251176 input_key_build: 0x10e1aa (Left) is \033[D
1731207152.251178 input_key_build: 0x10e1ab (Right) is \033[C
1731207152.251180 input_key_build: 0x10e1ac (KP/) is /
1731207152.251182 input_key_build: 0x10e1ad (KP*) is *
1731207152.251183 input_key_build: 0x10e1ae (KP-) is -
1731207152.251185 input_key_build: 0x10e1af (KP7) is 7
1731207152.251187 input_key_build: 0x10e1b0 (KP8) is 8
1731207152.251188 input_key_build: 0x10e1b1 (KP9) is 9
1731207152.251190 input_key_build: 0x10e1b2 (KP+) is +
1731207152.251192 input_key_build: 0x10e1b3 (KP4) is 4
1731207152.251193 input_key_build: 0x10e1b4 (KP5) is 5
1731207152.251195 input_key_build: 0x10e1b5 (KP6) is 6
1731207152.251197 input_key_build: 0x10e1b6 (KP1) is 1
1731207152.251198 input_key_build: 0x10e1b7 (KP2) is 2
1731207152.251200 input_key_build: 0x10e1b8 (KP3) is 3
1731207152.251202 input_key_build: 0x10e1b9 (KPEnter) is \n
1731207152.251204 input_key_build: 0x10e1ba (KP0) is 0
1731207152.251205 input_key_build: 0x10e1bb (KP.) is .
1731207152.251209 input_key_build: 0x200000000009 (C-Tab) is \t
1731207152.251211 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1731207152.251213 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1731207152.251215 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1731207152.251216 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1731207152.251218 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1731207152.251220 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1731207152.251222 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1731207152.251224 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1731207152.251225 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1731207152.251227 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1731207152.251229 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1731207152.251231 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1731207152.251233 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1731207152.251234 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1731207152.251236 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1731207152.251238 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1731207152.251240 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1731207152.251241 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1731207152.251243 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1731207152.251307 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1731207152.251309 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1731207152.251311 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1731207152.251313 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1731207152.251314 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1731207152.251316 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1731207152.251318 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1731207152.251320 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1731207152.251322 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1731207152.251323 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1731207152.251325 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1731207152.251327 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1731207152.251331 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1731207152.251333 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1731207152.251335 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1731207152.251337 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1731207152.251339 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1731207152.251341 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1731207152.251342 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1731207152.251344 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1731207152.251346 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1731207152.251348 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1731207152.251349 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1731207152.251351 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1731207152.251353 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1731207152.251355 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1731207152.251357 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1731207152.251359 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1731207152.251360 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1731207152.251362 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1731207152.251364 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1731207152.251366 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1731207152.251368 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1731207152.251369 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1731207152.251371 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1731207152.251373 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1731207152.251375 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1731207152.251377 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1731207152.251378 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1731207152.251380 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1731207152.251382 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1731207152.251384 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1731207152.251386 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1731207152.251387 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1731207152.251389 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1731207152.251391 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1731207152.251393 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1731207152.251395 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1731207152.251397 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1731207152.251399 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1731207152.251401 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1731207152.251408 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1731207152.251410 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1731207152.251412 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1731207152.251416 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1731207152.251418 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1731207152.251419 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1731207152.251424 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1731207152.251426 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1731207152.251428 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1731207152.251430 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1731207152.251432 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1731207152.251433 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
